galaxy,distance,MBH(Msun),MBH lower,MBH upper,method,sigma (km/s),sigma lower,sigma upper,,
MW,0.008,4.10E+06,3.50E+06,4.70E+06,star,103,83,123,S,0
A1836,157.5,3.90E+09,3.30E+09,4.30E+09,gas,288,274,302,E,2
A3565,54.4,1.40E+09,1.20E+09,1.70E+09,gas,322,306,338,E,2
Circ,4,1.70E+06,1.40E+06,2.10E+06,maser,158,140,176,S,0
IC1459,30.9,2.80E+09,1.60E+09,3.90E+09,star,315,299,331,E,2
N221,0.73,2.60E+06,2.10E+06,3.10E+06,star,75,72,78,E,2
N224,0.73,1.40E+08,1.10E+08,2.20E+08,star,160,152,168,S,0
N524,24.2,8.60E+08,8.20E+08,9.60E+08,star,235,223,247,S0,1
N821,23.4,1.70E+08,9.20E+07,2.40E+08,star,209,199,219,E,2
N1023,10.5,4.00E+07,3.60E+07,4.40E+07,star,205,195,215,S0,1
N1194,55.5,6.80E+07,6.50E+07,7.10E+07,maser,147.9,125.9,173.8,S0,1
N1300,20.1,7.10E+07,5.30E+07,1.05E+08,gas,218,208,228,S,0
N1316,21,1.70E+08,1.40E+08,2.00E+08,star,226,215,237,E,2
N1332,22.7,1.50E+09,1.30E+09,1.70E+09,star,328,312,344,S0,1
N1374,19.6,5.90E+08,5.40E+08,6.50E+08,star,174,165,183,E,2
N1399,20.9,5.10E+08,4.40E+08,5.70E+08,star,296,281,311,E,2
N1399,20.9,1.30E+09,6.30E+08,1.80E+09,star,296,281,311,E,2
N1407,29,4.70E+09,4.20E+09,5.40E+09,star,274,260,288,E,2
N1550,53,3.90E+09,3.20E+09,4.60E+09,star,289,275,303,E,2
N2273,26.8,7.80E+06,7.40E+06,8.20E+06,maser,144.5,128.8,162.2,S,0
N2549,12.7,1.40E+07,1.00E+07,1.50E+07,star,145,138,152,S0,1
N2787,7.5,4.10E+07,3.60E+07,4.50E+07,gas,189,180,198,S0,1
N2960,75.3,1.21E+07,1.16E+07,1.26E+07,maser,166,151.3,182,S,0
N3031,4.1,8.00E+07,6.90E+07,1.00E+08,gas,143,136,150,S,0
N3091,52.7,3.70E+09,3.20E+09,3.80E+09,star,307,292,322,E,2
N3115,9.5,8.90E+08,6.20E+08,1.40E+09,star,230,219,241,S0,1
N3227,17,1.50E+07,7.00E+06,2.00E+07,star,133,121,145,S,0
